date,population,admission,release
2023-08-19,130907.06891624605,3550.432493594698,1529.7117165168556
2023-08-20,131830.3563599906,2453.2991602613642,1601.0117165168558
2023-08-21,132218.48995758122,1988.1486363666547,3859.008864911097
2023-08-22,131505.72363822834,3147.575878891572,3587.59219824443
2023-08-23,131073.7073188755,3155.5758788915714,3458.59219824443
2023-08-24,130876.69099952265,3260.242545558238,3199.3857356593967
2023-08-25,130940.92468016977,3316.975878891572,3606.9921982444303
2023-08-26,131093.15836081695,3759.225878891571,1434.9921982444303
2023-08-27,132041.89204146407,2381.7258788915715,1528.9921982444305
2023-08-28,132547.6257221112,2034.7258788915717,3938.9921982444307
2023-08-29,131707.85940275833,3099.225878891572,3442.9921982444307
2023-08-30,131583.09308340552,3316.892545558239,3306.670769673002
2023-08-31,131414.14819262404,3140.9044503201426,3477.872084892263
2023-09-01,131292.8828906231,3357.5879149667844,3335.853216967735
2023-09-02,131273.61758862215,3315.9212483001174,1481.603216967735
2023-09-03,132172.8522866212,2381.587914966784,1580.3532169677353
2023-09-04,132783.08698462025,2190.587914966784,1412.353216967735
2023-09-05,133450.3216826193,2079.587914966784,4144.453216967735
2023-09-06,132523.85638061835,3216.987914966784,3844.953216967735
2023-09-07,132012.8910786174,3333.987914966784,3576.19797221249
2023-09-08,131663.58728177793,3228.060842039711,3216.531305545823
2023-09-09,131792.95015160515,3345.894175373044,1393.0313055458234
2023-09-10,132724.3130214324,2324.394175373044,1560.0313055458232
2023-09-11,133169.00922459294,1984.7667243926521,3672.843457008819
2023-09-12,132483.60414835016,2987.4383807660447,3728.843457008819
2023-09-13,132214.19907210738,3406.7459402977497,3477.595917007105
2023-09-14,131790.9325281323,3061.8293730320243,3473.7625836737716
2023-09-15,131530.57709526835,3215.6293730320244,3187.7655545590956
2023-09-16,131682.97255366997,3342.1021894313117,1437.7067310296834
2023-09-17,132578.86801207165,2332.9355227646447,1558.7067310296836
2023-09-18,133131.51347047323,2020.2355227646449,3857.132495221824
